epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.7442,1.58254,7.45755,1.44051,0.00137,0.41176,0.00097,0.00048,1.32463,14.5413,1.608,0.00022,0.00022,0.00022
2,9.39438,0.89967,3.25686,1.08748,0.01728,0.82353,0.02107,0.0178,0.756,inf,1.00025,0.000455446,0.000455446,0.000455446
3,13.9753,1.01301,1.47008,1.0707,0.96589,0.64706,0.64757,0.49482,0.91854,7.54616,1.18252,0.00068614,0.00068614,0.00068614
4,18.4892,0.99947,1.79985,1.05796,0.00513,0.29412,0.00375,0.00112,3.18534,41.4241,3.81966,0.000912082,0.000912082,0.000912082
5,22.9406,0.99856,1.2788,1.10924,0.25641,0.58824,0.2929,0.19449,1.24808,nan,1.57299,0.00113327,0.00113327,0.00113327
6,27.4229,1.02283,1.17283,1.15022,0.00101,0.23529,0.00054,0.00038,2.34051,inf,3.29591,0.00134971,0.00134971,0.00134971
7,31.8655,0.94631,0.9242,1.03388,0.00021,0.05882,0.0001,3e-05,3.71057,inf,3.96158,0.0015614,0.0015614,0.0015614
8,36.1278,1.00184,0.96982,1.05686,0.01579,0.11765,0.00386,0.0016,3.647,179.426,3.85892,0.00176833,0.00176833,0.00176833
9,40.3868,0.9137,0.77954,0.98412,0.01579,0.11765,0.00386,0.0016,4.50629,5.4559,14.6378,0.0018416,0.0018416,0.0018416
10,44.6362,0.96963,0.78468,1.03722,1,0.5282,0.5704,0.41954,1.12341,2.23547,1.32644,0.0018218,0.0018218,0.0018218
11,48.9101,0.95212,0.68046,1.01142,0.17131,0.11765,0.075,0.06,2.20315,4.8395,4.89239,0.001802,0.001802,0.001802
12,53.171,0.9788,0.66235,1.017,0.31499,0.47059,0.3089,0.24044,1.26558,14.7985,1.49535,0.0017822,0.0017822,0.0017822
13,57.4395,0.92104,0.69134,0.98921,0.9922,0.88235,0.8858,0.61144,1.33595,1.05859,1.29018,0.0017624,0.0017624,0.0017624
14,61.753,0.82636,0.64275,0.93246,0.0004,0.05882,0.00026,3e-05,3.28859,89.9825,3.85283,0.0017426,0.0017426,0.0017426
15,66.0244,0.97352,0.76564,1.03942,0.0004,0.05882,0.00026,3e-05,5.88547,40.7223,19.3041,0.0017228,0.0017228,0.0017228
16,70.2645,0.77233,0.74471,0.93386,0.00092,0.05882,0.00018,8e-05,4.19709,26.7527,3.8101,0.001703,0.001703,0.001703
17,74.5147,0.98389,0.65196,1.02563,0.00092,0.05882,0.00018,8e-05,4.50248,7.15947,49.4958,0.0016832,0.0016832,0.0016832
18,78.7753,0.86385,0.60716,1.0014,0.90759,0.11765,0.13279,0.09436,2.25572,4.70501,2.04948,0.0016634,0.0016634,0.0016634
19,83.0476,0.87577,0.59527,1.02283,0.91223,1,0.98889,0.806,0.80243,1.8792,1.00164,0.0016436,0.0016436,0.0016436
20,87.3768,0.81286,0.53365,0.98257,0.98997,1,0.995,0.80566,0.83621,0.65384,1.0495,0.0016238,0.0016238,0.0016238
21,91.6951,0.90003,0.56412,0.97371,0.99331,1,0.995,0.79742,0.80065,0.5534,0.97089,0.001604,0.001604,0.001604
22,95.9515,0.75925,0.53509,0.88762,0.96565,1,0.995,0.82235,0.76563,0.53211,1.00526,0.0015842,0.0015842,0.0015842
23,100.289,0.85111,0.5758,0.97125,0.9948,1,0.995,0.82923,0.7513,0.44025,0.98752,0.0015644,0.0015644,0.0015644
24,104.604,0.82601,0.53052,0.96265,0.9958,1,0.995,0.85717,0.65431,0.41349,0.92718,0.0015446,0.0015446,0.0015446
25,108.926,0.75573,0.59065,0.89266,0.94285,1,0.995,0.79301,0.77983,0.42146,0.96949,0.0015248,0.0015248,0.0015248
26,113.192,0.78845,0.49213,0.95352,0.99654,1,0.995,0.85209,0.76524,0.39521,0.97829,0.001505,0.001505,0.001505
27,117.461,0.70975,0.51582,0.89085,0.99583,1,0.995,0.85404,0.66704,0.38529,0.9419,0.0014852,0.0014852,0.0014852
28,121.752,0.74427,0.48688,0.94352,1,0.99981,0.995,0.83649,0.79251,0.5703,1.03477,0.0014654,0.0014654,0.0014654
